"","year","artist","track","time","week","rank","date"
"1",2000,"2 Pac","Baby Don't Cry (Keep...","4:22",1,87,2000-02-26
"2",2000,"2Ge+her","The Hardest Part Of ...","3:15",1,91,2000-09-02
"3",2000,"3 Doors Down","Kryptonite","3:53",1,81,2000-04-08
"4",2000,"3 Doors Down","Loser","4:24",1,76,2000-10-21
"5",2000,"504 Boyz","Wobble Wobble","3:35",1,57,2000-04-15
"6",2000,"98^0","Give Me Just One Nig...","3:24",1,51,2000-08-19
"7",2000,"A*Teens","Dancing Queen","3:44",1,97,2000-07-08
"8",2000,"Aaliyah","I Don't Wanna","4:15",1,84,2000-01-29
"9",2000,"Aaliyah","Try Again","4:03",1,59,2000-03-18
"10",2000,"Adams, Yolanda","Open My Heart","5:30",1,76,2000-08-26
"11",2000,"Adkins, Trace","More","3:05",1,84,2000-04-29
"12",2000,"Aguilera, Christina","Come On Over Baby (A...","3:38",1,57,2000-08-05
"13",2000,"Aguilera, Christina","I Turn To You","4:00",1,50,2000-04-15
"14",2000,"Aguilera, Christina","What A Girl Wants","3:18",1,71,1999-11-27
"15",2000,"Alice Deejay","Better Off Alone","6:50",1,79,2000-04-08
"16",2000,"Allan, Gary","Smoke Rings In The D...","4:18",1,80,2000-01-22
"17",2000,"Amber","Sexual","4:38",1,99,1999-07-17
"18",2000,"Anastacia","I'm Outta Love","4:01",1,92,2000-04-01
"19",2000,"Anthony, Marc","My Baby You","3:59",1,82,2000-09-16
"20",2000,"Anthony, Marc","You Sang To Me","3:50",1,77,2000-02-26
"21",2000,"Avant","My First Love","4:28",1,70,2000-11-04
"22",2000,"Avant","Separated","4:13",1,62,2000-04-29
"23",2000,"BBMak","Back Here","3:35",1,99,2000-04-29
"24",2000,"Backstreet Boys, The","Shape Of My Heart","3:49",1,39,2000-10-14
"25",2000,"Backstreet Boys, The","Show Me The Meaning ...","3:54",1,74,2000-01-01
"26",2000,"Backstreet Boys, The","The One","3:46",1,58,2000-05-27
"27",2000,"Badu, Erkyah","Bag Lady","5:03",1,67,2000-08-19
"28",2000,"Baha Men","Who Let The Dogs Out","3:17",1,99,2000-07-22
"29",2000,"Barenaked Ladies","Pinch Me","3:46",1,77,2000-09-09
"30",2000,"Beenie Man","Girls Dem Sugar","4:17",1,72,2000-10-21
"31",2000,"Before Dark","Monica","4:04",1,95,2000-05-20
"32",2000,"Bega, Lou","Tricky Tricky ","3:23",1,75,2000-01-29
"33",2000,"Big Punisher","It's So Hard","3:25",1,96,2000-04-22
"34",2000,"Black Rob","Whoa!","4:04",1,78,2000-03-04
"35",2000,"Black, Clint","Been There","5:28",1,87,2000-02-19
"36",2000,"Blaque","Bring It All To Me","3:46",1,73,1999-10-23
"37",2000,"Blige, Mary J.","Deep Inside","5:26",1,83,1999-11-13
"38",2000,"Blige, Mary J.","Give Me You","5:00",1,97,2000-04-15
"39",2000,"Blink-182","All The Small Things","2:52",1,89,1999-12-04
"40",2000,"Bloodhound Gang","The Bad Touch","4:20",1,70,2000-03-18
"41",2000,"Bon Jovi","It's My Life","3:44",1,64,2000-08-12
"42",2000,"Braxton, Toni","He Wasn't Man Enough","4:21",1,63,2000-03-18
"43",2000,"Braxton, Toni","Just Be A Man About ...","4:10",1,76,2000-07-29
"44",2000,"Braxton, Toni","Spanish Guitar","4:24",1,98,2000-12-02
"45",2000,"Brock, Chad","A Country Boy Can Su...","3:54",1,93,2000-01-01
"46",2000,"Brock, Chad","Yes!","3:22",1,90,2000-04-08
"47",2000,"Brooks & Dunn","You'll Always Be Lov...","2:58",1,95,2000-06-10
"48",2000,"Brooks, Garth","Do What You Gotta Do","2:56",1,86,2000-02-19
"49",2000,"Byrd, Tracy","Put Your Hand In Min...","4:30",1,81,2000-01-29
"50",2000,"Cagle, Chris","My Love Goes On And ...","3:02",1,99,2000-10-21
"51",2000,"Cam'ron","What Means The World...","4:38",1,94,2000-10-14
"52",2000,"Carey, Mariah","Crybaby","5:19",1,28,2000-06-24
"53",2000,"Carey, Mariah","Thank God I Found Yo...","4:14",1,82,1999-12-11
"54",2000,"Carter, Aaron","Aaron's Party (Come ...","3:23",1,99,2000-08-26
"55",2000,"Carter, Torrey","Take That","3:43",1,94,2000-06-24
"56",2000,"Changing Faces","That Other Woman","4:00",1,80,2000-09-30
"57",2000,"Chesney, Kenny","I Lost It","3:54",1,75,2000-10-21
"58",2000,"Chesney, Kenny","What I Need To Do","4:05",1,79,2000-04-01
"59",2000,"Clark Family Experience","Meanwhile Back At Th...","2:56",1,87,2000-11-18
"60",2000,"Clark, Terri","A Little Gasoline","3:07",1,75,2000-12-16
"61",2000,"Common","The Light","3:55",1,75,2000-08-05
"62",2000,"Counting Crows","Hanginaround","4:07",1,84,1999-11-06
"63",2000,"Creed","Higher","5:16",1,81,1999-09-11
"64",2000,"Creed","With Arms Wide Open","3:52",1,84,2000-05-13
"65",2000,"Cyrus, Billy Ray","You Won't Be Lonely ...","3:45",1,97,2000-09-23
"66",2000,"D'Angelo","Left & Right","4:35",1,93,1999-12-11
"67",2000,"D'Angelo","Untitled (How Does I...","7:10",1,77,2000-01-22
"68",2000,"DMX","Party Up (Up In Here...","3:45",1,88,2000-02-26
"69",2000,"DMX","What You Want","4:05",1,98,2000-07-01
"70",2000,"DMX","What's My Name","3:50",1,98,2000-01-15
"71",2000,"Da Brat","That's What I'm Look...","3:44",1,93,2000-02-26
"72",2000,"Da Brat","What'Chu Like","3:57",1,71,2000-06-03
"73",2000,"Davidson, Clay","Unconditional","3:56",1,97,2000-03-25
"74",2000,"De La Soul","All Good?","5:02",1,96,2000-12-23
"75",2000,"Destiny's Child","Independent Women Pa...","3:38",1,78,2000-09-23
